bosque	sitio	Removidos	Frutos
c	Campanario	30	46
c	Campanario	40	51
c	Campanario	11	32
c	Campanario	33	49
c	Campanario	35	46
c	Campanario	25	37
c	Campanario	48	53
c	Campanario	13	31
c	Campanario	25	33
c	Campanario	31	44
c	Campanario	19	31
c	Campanario	20	34
c	Tacul	29	40
c	Tacul	29	41
c	Tacul	19	31
c	Tacul	28	39
c	Tacul	32	45
c	Tacul	33	45
c	Tacul	23	40
c	Tacul	16	30
c	Tacul	25	37
c	Tacul	28	46
c	Tacul	12	30
c	Tacul	28	42
c	Llao-Llao	24	26
c	Llao-Llao	30	30
c	Llao-Llao	23	28
c	Llao-Llao	35	46
c	Llao-Llao	28	36
c	Llao-Llao	29	31
c	Llao-Llao	35	39
c	Llao-Llao	31	34
c	Llao-Llao	38	41
c	Llao-Llao	35	41
c	Llao-Llao	27	33
c	Llao-Llao	26	33
f	Campanario	3	28
f	Campanario	5	23
f	Campanario	5	25
f	Campanario	4	20
f	Campanario	14	25
f	Campanario	8	23
f	Campanario	8	23
f	Campanario	8	22
f	Campanario	7	21
f	Campanario	9	26
f	Tacul	14	29
f	Tacul	16	37
f	Tacul	14	36
f	Tacul	12	34
f	Tacul	17	35
f	Tacul	21	42
f	Tacul	22	35
f	Tacul	29	46
f	Tacul	15	32
f	Tacul	18	36
f	Tacul	19	39
f	Tacul	21	41
f	Llao-Llao	0	20
f	Llao-Llao	8	28
f	Llao-Llao	13	25
f	Llao-Llao	18	29
f	Llao-Llao	22	37
f	Llao-Llao	15	41
f	Llao-Llao	18	33
f	Llao-Llao	10	38
f	Llao-Llao	15	31
f	Llao-Llao	24	39
f	Llao-Llao	15	36
f	Llao-Llao	18	37
